#t	theta	v
000.0	0.7854	0.00
000.1	0.7480	0.04
000.2	0.6477	-0.36
000.3	0.4997	0.52
000.4	0.3222	0.34
000.5	0.1271	-0.88
000.6	-0.0616	1.00
000.7	-0.2218	0.54
000.8	-0.3497	-0.94
000.9	-0.4353	0.46
001.0	-0.4757	-0.92
001.1	-0.4710	0.26
001.2	-0.4220	0.16
001.3	-0.3412	-0.80
001.4	-0.2363	0.44
001.5	-0.1151	0.34
001.6	0.0071	-0.14
001.7	0.1184	0.16
001.8	0.2089	-0.10
001.9	0.2717	0.04
002.0	0.3043	0.14
002.1	0.3017	-0.98
002.2	0.2675	0.02
002.3	0.2129	0.38
002.4	0.1430	-0.30
002.5	0.0628	-0.34
002.6	-0.0140	0.78
002.7	-0.0817	-0.40
002.8	-0.1396	-0.46
002.9	-0.1793	0.34
003.0	-0.1992	-0.38
003.1	-0.2012	-0.28
003.2	-0.1855	-0.10
003.3	-0.1536	0.08
003.4	-0.1136	-0.82
003.5	-0.0727	-0.74
003.6	-0.0351	-0.80
003.7	0.0021	0.54
003.8	0.0423	0.90
003.9	0.0762	-0.44
004.0	0.0946	-0.80
004.1	0.0990	-0.06
004.2	0.0951	0.34
004.3	0.0806	-0.66
004.4	0.0531	-0.86
004.5	0.0210	0.28
004.6	-0.0134	-0.88
004.7	-0.0489	-0.40
004.8	-0.0781	0.00
004.9	-0.0987	-0.28
005.0	-0.1110	-0.38
005.1	-0.1137	-0.10
005.2	-0.1058	-0.04
005.3	-0.0907	-0.42
005.4	-0.0710	-0.22
005.5	-0.0426	0.92
005.6	-0.0136	-0.92
005.7	0.0127	0.40
005.8	0.0351	-0.38
005.9	0.0478	-0.64
006.0	0.0498	-0.56
006.1	0.0452	0.10
006.2	0.0368	-0.06
006.3	0.0294	0.84
006.4	0.0214	-0.34
006.5	0.0130	0.46
006.6	0.0063	0.10
006.7	-0.0035	-0.72
006.8	-0.0176	-0.58
006.9	-0.0309	0.04
007.0	-0.0396	0.06
007.1	-0.0413	0.46
007.2	-0.0394	-0.44
007.3	-0.0360	-0.10
007.4	-0.0335	-0.78
007.5	-0.0276	0.74
007.6	-0.0210	-0.90
007.7	-0.0199	-0.74
007.8	-0.0157	0.86
007.9	-0.0058	0.28
008.0	0.0040	-0.18
008.1	0.0098	-0.44
008.2	0.0082	-0.90
008.3	0.0006	-0.40
008.4	-0.0106	-0.58
008.5	-0.0188	0.70
008.6	-0.0261	-0.92
008.7	-0.0374	-0.74
008.8	-0.0489	-0.42
008.9	-0.0600	-0.74
009.0	-0.0704	-0.70
009.1	-0.0727	0.70
009.2	-0.0642	0.20
009.3	-0.0462	0.70
009.4	-0.0203	0.52
009.5	0.0041	-0.68
